source,hour,cost
Solar,937,30
Solar,938,30
Solar,939,30
Solar,940,30
Solar,941,30
Solar,942,30
Solar,943,30
Solar,944,30
Solar,945,30
Solar,946,30
Solar,947,30
Solar,948,30
Solar,949,30
Solar,950,30
Solar,951,30
Solar,952,30
Solar,953,30
Solar,954,30
Solar,955,30
Solar,956,30
Solar,957,30
Solar,958,30
Solar,959,30
Solar,960,30
Solar,961,30
Solar,962,30
Solar,963,30
Solar,964,30
Solar,965,30
Solar,966,30
Solar,967,30
Solar,968,30
Solar,969,30
Solar,970,30
Solar,971,30
Solar,972,30
Solar,973,30
Solar,974,30
Solar,975,30
Solar,976,30
Solar,977,30
Solar,978,30
Solar,979,30
Solar,980,30
Solar,981,30
Solar,982,30
Solar,983,30
Solar,984,30
Solar,985,30
Solar,986,30
Solar,987,30
Solar,988,30
Solar,989,30
Solar,990,30
Solar,991,30
Solar,992,30
Solar,993,30
Solar,994,30
Solar,995,30
Solar,996,30
Solar,997,30
Solar,998,30
Solar,999,30
Solar,1000,30
Solar,1001,30
Solar,1002,30
Solar,1003,30
Solar,1004,30
Solar,1005,30
Solar,1006,30
Solar,1007,30
Solar,1008,30
Solar,1009,30
Solar,1010,30
Solar,1011,30
Solar,1012,30
Solar,1013,30
Solar,1014,30
Solar,1015,30
Solar,1016,30
Solar,1017,30
Solar,1018,30
Solar,1019,30
Solar,1020,30
Solar,1021,30
Solar,1022,30
Solar,1023,30
Solar,1024,30
Solar,1025,30
Solar,1026,30
Solar,1027,30
Solar,1028,30
Solar,1029,30
Solar,1030,30
Solar,1031,30
Solar,1032,30
Solar,1033,30
Solar,1034,30
Solar,1035,30
Solar,1036,30
Solar,1037,30
Solar,1038,30
Solar,1039,30
Solar,1040,30
Solar,1041,30
Solar,1042,30
Solar,1043,30
Solar,1044,30
Solar,1045,30
Solar,1046,30
Solar,1047,30
Solar,1048,30
Solar,1049,30
Solar,1050,30
Solar,1051,30
Solar,1052,30
Solar,1053,30
Solar,1054,30
Solar,1055,30
Solar,1056,30
Solar,1057,30
Solar,1058,30
Solar,1059,30
Solar,1060,30
Solar,1061,30
Solar,1062,30
Solar,1063,30
Solar,1064,30
Solar,1065,30
Solar,1066,30
Solar,1067,30
Solar,1068,30
Solar,1069,30
Solar,1070,30
Solar,1071,30
Solar,1072,30
Solar,1073,30
Solar,1074,30
Solar,1075,30
Solar,1076,30
Solar,1077,30
Solar,1078,30
Solar,1079,30
Solar,1080,30
Solar,1081,30
Solar,1082,30
Solar,1083,30
Solar,1084,30
Solar,1085,30
Solar,1086,30
Solar,1087,30
Solar,1088,30
Solar,1089,30
Solar,1090,30
Solar,1091,30
Solar,1092,30
Solar,1093,30
Solar,1094,30
Solar,1095,30
Solar,1096,30
Solar,1097,30
