source,hour,existing_cost
Solar,889,25
Solar,890,25
Solar,891,25
Solar,892,25
Solar,893,25
Solar,894,25
Solar,895,25
Solar,896,25
Solar,897,25
Solar,898,25
Solar,899,25
Solar,900,25
Solar,901,25
Solar,902,25
Solar,903,25
Solar,904,25
Solar,905,25
Solar,906,25
Solar,907,25
Solar,908,25
Solar,909,25
Solar,910,25
Solar,911,25
Solar,912,25
Solar,913,25
Solar,914,25
Solar,915,25
Solar,916,25
Solar,917,25
Solar,918,25
Solar,919,25
Solar,920,25
Solar,921,25
Solar,922,25
Solar,923,25
Solar,924,25
Solar,925,25
Solar,926,25
Solar,927,25
Solar,928,25
Solar,929,25
Solar,930,25
Solar,931,25
Solar,932,25
Solar,933,25
Solar,934,25
Solar,935,25
Solar,936,25
Solar,937,25
Solar,938,25
Solar,939,25
Solar,940,25
Solar,941,25
Solar,942,25
Solar,943,25
Solar,944,25
Solar,945,25
Solar,946,25
Solar,947,25
Solar,948,25
Solar,949,25
Solar,950,25
Solar,951,25
Solar,952,25
Solar,953,25
Solar,954,25
Solar,955,25
Solar,956,25
Solar,957,25
Solar,958,25
Solar,959,25
Solar,960,25
Solar,961,25
Solar,962,25
Solar,963,25
Solar,964,25
Solar,965,25
Solar,966,25
Solar,967,25
Solar,968,25
Solar,969,25
Solar,970,25
Solar,971,25
Solar,972,25
Solar,973,25
Solar,974,25
Solar,975,25
Solar,976,25
Solar,977,25
Solar,978,25
Solar,979,25
Solar,980,25
Solar,981,25
Solar,982,25
Solar,983,25
Solar,984,25
Solar,985,25
Solar,986,25
Solar,987,25
Solar,988,25
Solar,989,25
Solar,990,25
Solar,991,25
Solar,992,25
Solar,993,25
Solar,994,25
Solar,995,25
Solar,996,25
Solar,997,25
Solar,998,25
Solar,999,25
Solar,1000,25
Solar,1001,25
Solar,1002,25
Solar,1003,25
Solar,1004,25
Solar,1005,25
Solar,1006,25
Solar,1007,25
Solar,1008,25
Solar,1009,25
Solar,1010,25
Solar,1011,25
Solar,1012,25
Solar,1013,25
Solar,1014,25
Solar,1015,25
Solar,1016,25
Solar,1017,25
Solar,1018,25
Solar,1019,25
Solar,1020,25
Solar,1021,25
Solar,1022,25
Solar,1023,25
Solar,1024,25
Solar,1025,25
Solar,1026,25
Solar,1027,25
Solar,1028,25
Solar,1029,25
Solar,1030,25
Solar,1031,25
Solar,1032,25
Solar,1033,25
Solar,1034,25
Solar,1035,25
Solar,1036,25
Solar,1037,25
Solar,1038,25
Solar,1039,25
Solar,1040,25
Solar,1041,25
Solar,1042,25
Solar,1043,25
Solar,1044,25
Solar,1045,25
Solar,1046,25
Solar,1047,25
Solar,1048,25
Solar,1049,25
Solar,1050,25
Solar,1051,25
Solar,1052,25
Solar,1053,25
Solar,1054,25
Solar,1055,25
Solar,1056,25
Solar,1057,25
Solar,1058,25
Solar,1059,25
Solar,1060,25
Solar,1061,25
Solar,1062,25
Solar,1063,25
Solar,1064,25
Solar,1065,25
Solar,1066,25
Solar,1067,25
Solar,1068,25
Solar,1069,25
Solar,1070,25
Solar,1071,25
Solar,1072,25
Solar,1073,25
Solar,1074,25
Solar,1075,25
Solar,1076,25
Solar,1077,25
Solar,1078,25
Solar,1079,25
Solar,1080,25
Solar,1081,25
Solar,1082,25
Solar,1083,25
Solar,1084,25
Solar,1085,25
Solar,1086,25
Solar,1087,25
Solar,1088,25
Solar,1089,25
Solar,1090,25
Solar,1091,25
Solar,1092,25
Solar,1093,25
Solar,1094,25
Solar,1095,25
Solar,1096,25
Solar,1097,25
Solar,1098,25
Solar,1099,25
Solar,1100,25
Solar,1101,25
Solar,1102,25
Solar,1103,25
Solar,1104,25
Solar,1105,25
Solar,1106,25
Solar,1107,25
Solar,1108,25
Solar,1109,25
Solar,1110,25
Solar,1111,25
Solar,1112,25
Solar,1113,25
Solar,1114,25
Solar,1115,25
Solar,1116,25
Solar,1117,25
Solar,1118,25
Solar,1119,25
Solar,1120,25
Solar,1121,25
Solar,1122,25
Solar,1123,25
Solar,1124,25
Solar,1125,25
Solar,1126,25
Solar,1127,25
Solar,1128,25
Solar,1129,25
Solar,1130,25
Solar,1131,25
Solar,1132,25
Solar,1133,25
Solar,1134,25
Solar,1135,25
Solar,1136,25
Solar,1137,25
Solar,1138,25
Solar,1139,25
Solar,1140,25
Solar,1141,25
Solar,1142,25
Solar,1143,25
Solar,1144,25
Solar,1145,25
Solar,1146,25
Solar,1147,25
Solar,1148,25
Solar,1149,25
Solar,1150,25
Solar,1151,25
Solar,1152,25
Solar,1153,25
Solar,1154,25
Solar,1155,25
Solar,1156,25
Solar,1157,25
Solar,1158,25
Solar,1159,25
Solar,1160,25
Solar,1161,25
Solar,1162,25
Solar,1163,25
Solar,1164,25
Solar,1165,25
Solar,1166,25
Solar,1167,25
Solar,1168,25
Solar,1169,25
Solar,1170,25
Solar,1171,25
Solar,1172,25
Solar,1173,25
Solar,1174,25
Solar,1175,25
Solar,1176,25
Solar,1177,25
Solar,1178,25
Solar,1179,25
Solar,1180,25
Solar,1181,25
Solar,1182,25
Solar,1183,25
Solar,1184,25
Solar,1185,25
Solar,1186,25
Solar,1187,25
Solar,1188,25
Solar,1189,25
Solar,1190,25
Solar,1191,25
Solar,1192,25
Solar,1193,25
Solar,1194,25
Solar,1195,25
Solar,1196,25
Solar,1197,25
Solar,1198,25
Solar,1199,25
Solar,1200,25
Solar,1201,25
Solar,1202,25
Solar,1203,25
Solar,1204,25
Solar,1205,25
Solar,1206,25
Solar,1207,25
Solar,1208,25
Solar,1209,25
Solar,1210,25
Solar,1211,25
Solar,1212,25
Solar,1213,25
Solar,1214,25
Solar,1215,25
Solar,1216,25
Solar,1217,25
Solar,1218,25
Solar,1219,25
Solar,1220,25
Solar,1221,25
Solar,1222,25
Solar,1223,25
Solar,1224,25
Solar,1225,25
Solar,1226,25
Solar,1227,25
Solar,1228,25
Solar,1229,25
Solar,1230,25
Solar,1231,25
Solar,1232,25
Solar,1233,25
Solar,1234,25
Solar,1235,25
Solar,1236,25
Solar,1237,25
Solar,1238,25
Solar,1239,25
Solar,1240,25
Solar,1241,25
Solar,1242,25
Solar,1243,25
Solar,1244,25
Solar,1245,25
Solar,1246,25
Solar,1247,25
Solar,1248,25
Solar,1249,25
Solar,1250,25
Solar,1251,25
Solar,1252,25
Solar,1253,25
Solar,1254,25
Solar,1255,25
Solar,1256,25
Solar,1257,25
Solar,1258,25
Solar,1259,25
Solar,1260,25
Solar,1261,25
Solar,1262,25
Solar,1263,25
Solar,1264,25
Solar,1265,25
Solar,1266,25
Solar,1267,25
Solar,1268,25
Solar,1269,25
Solar,1270,25
Solar,1271,25
Solar,1272,25
Solar,1273,25
Solar,1274,25
Solar,1275,25
Solar,1276,25
Solar,1277,25
Solar,1278,25
Solar,1279,25
Solar,1280,25
Solar,1281,25
Solar,1282,25
Solar,1283,25
Solar,1284,25
Solar,1285,25
Solar,1286,25
Solar,1287,25
Solar,1288,25
Solar,1289,25
Solar,1290,25
Solar,1291,25
Solar,1292,25
Solar,1293,25
Solar,1294,25
Solar,1295,25
Solar,1296,25
Solar,1297,25
Solar,1298,25
Solar,1299,25
Solar,1300,25
Solar,1301,25
Solar,1302,25
Solar,1303,25
Solar,1304,25
Solar,1305,25
Solar,1306,25
Solar,1307,25
Solar,1308,25
Solar,1309,25
Solar,1310,25
Solar,1311,25
Solar,1312,25
Solar,1313,25
Solar,1314,25
Solar,1315,25
Solar,1316,25
Solar,1317,25
Solar,1318,25
Solar,1319,25
Solar,1320,25
Solar,1321,25
Solar,1322,25
Solar,1323,25
Solar,1324,25
Solar,1325,25
Solar,1326,25
Solar,1327,25
Solar,1328,25
Solar,1329,25
Solar,1330,25
Solar,1331,25
Solar,1332,25
Solar,1333,25
Solar,1334,25
Solar,1335,25
Solar,1336,25
Solar,1337,25
Solar,1338,25
Solar,1339,25
Solar,1340,25
Solar,1341,25
Solar,1342,25
Solar,1343,25
Solar,1344,25
Solar,1345,25
Solar,1346,25
Solar,1347,25
Solar,1348,25
Solar,1349,25
Solar,1350,25
Solar,1351,25
Solar,1352,25
Solar,1353,25
Solar,1354,25
Solar,1355,25
Solar,1356,25
Solar,1357,25
Solar,1358,25
Solar,1359,25
Solar,1360,25
Solar,1361,25
Solar,1362,25
Solar,1363,25
Solar,1364,25
Solar,1365,25
Solar,1366,25
Solar,1367,25
Solar,1368,25
Solar,1369,25
Solar,1370,25
Solar,1371,25
Solar,1372,25
