Hour,Demand
5236,42003.61719
5237,41658.89453
5238,41831.56641
5239,41905.81641
5240,43553.14063
5241,47374.31641
5242,51914.89453
5243,56161.92969
5244,60031.75
5245,63167.49219
5246,65363.83984
5247,66265.35156
5248,67394.03906
5249,67711.11719
5250,67324.91406
5251,65676.29688
5252,62472.56641
5253,60786.32813
5254,57985.83984
5255,55094.14844
5256,51923.44141
5257,49339.23047
5258,47283.78516
5259,45715.73438
5260,44620.08984
5261,43849.16016
5262,43247.04688
5263,42905.07031
5264,44297.53516
5265,48283.70703
5266,52594.07813
5267,56725.92578
5268,60416.30469
5269,63244.96484
5270,65940.55469
5271,67423.33594
5272,68462.67969
5273,69146.42969
5274,68690.19531
5275,67248.82813
5276,64466.64844
5277,63031.0625
5278,60201.35938
5279,56410.23047
5280,52934.08203
5281,50333.67969
5282,48318.38672
5283,46956.32031
5284,46318.55469
5285,46496.20313
5286,47841.30859
5287,48993.75781
5288,50294.90625
5289,53797.32422
5290,57724.70703
5291,61889.38672
5292,65439.69141
5293,68700.3125
5294,71107.08594
5295,72361.27344
5296,72725.92188
5297,72708.65625
5298,72065.28125
5299,70209.92188
5300,67344.6875
5301,65647.20313
5302,62233.78906
5303,58077.30469
5304,54135.68359
5305,51259.30469
5306,48931.9375
5307,47362.37109
5308,46638.60938
5309,46624.02734
5310,48019.89844
5311,48960.91797
5312,50176.32031
5313,53653.12891
5314,57365.71484
5315,61205.01172
5316,64808.02734
5317,68182.86719
5318,71063.61719
5319,72414.13281
5320,72543.42188
5321,72251.71875
5322,71686.97656
5323,69746.0625
5324,66532.34375
5325,64706.09766
5326,61278.40234
5327,57072.35156
5328,53062.16016
5329,50224.04297
5330,47963.71875
5331,46405.82813
5332,45271.14844
5333,45109.55469
5334,46616.75391
5335,47706.03906
5336,49043.44531
5337,52509.71484
5338,56403.10156
5339,60286.28125
5340,64156.23047
5341,67759.07813
5342,70291.41406
5343,71129.73438
5344,71095.52344
5345,70866.8125
5346,70416.35938
5347,68782.46094
5348,66022.03906
5349,64423.94531
5350,61430.05859
5351,57076.16406
5352,53301.43359
5353,50410.95703
5354,48222.14063
5355,46568.88281
5356,45773.40234
5357,45753.86719
5358,47079.20313
5359,48083.3125
5360,49475.92578
5361,52834.08984
5362,56643.16797
5363,60942.0625
5364,64567.93359
5365,67987.71094
5366,70581.3125
5367,71922.42188
5368,72406.54688
5369,71693.60938
5370,70727.83594
5371,68618.67969
5372,65644.28906
5373,64023.51563
5374,60553.51563
5375,56400.28516
5376,52460.19141
5377,49245.43359
5378,47099.51172
5379,45671.73828
5380,44672.55469
5381,44635.82031
5382,45887.32031
5383,47071.625
5384,48540.34375
5385,51667.02734
5386,55365.96875
5387,59278.14453
5388,62765.21094
5389,65861.875
5390,68004.4375
5391,68858.13281
5392,69183.85938
5393,69310.75
5394,68167.23438
5395,66230.15625
5396,63273.31641
5397,61734.71875
5398,58506.14844
5399,54927.17188
5400,51245.67188
5401,48202.78516
5402,45890.60547
5403,44305.9375
5404,43176.59766
5405,42596.3125
5406,42664.51172
5407,42841.30469
5408,44320.46484
5409,48082.38281
5410,52459.14453
5411,56645.60938
5412,59470.28516
5413,60026.01172
5414,60142.76172
5415,60520.42188
5416,60960.95313
5417,61288.38281
5418,60810.66016
5419,59449.52734
5420,57202.85547
5421,56044.90625
5422,53354.95703
5423,50515.875
5424,47596.46875
5425,45002.39453
5426,43103.58984
5427,41664.21875
5428,40559.10547
5429,40159.24219
5430,40113.41016
5431,39864.24609
5432,41076.45703
5433,44003.78516
5434,47666.92188
5435,51649.39844
5436,55107.62109
5437,57471.66406
5438,59264.07031
5439,60470.29297
5440,61141.52734
5441,60308.79297
5442,59024.73047
5443,57081.04297
5444,55462.69531
5445,54631.74219
5446,52148.71484
5447,48516.68359
5448,45053.3125
5449,42579.14453
5450,40862.34766
5451,39839.03125
5452,39523.29297
5453,39992.85547
5454,41846.67188
5455,43753.13281
5456,44792.65625
5457,47735.12891
5458,51924.66797
5459,56262.55859
5460,60282.44531
5461,63624.61328
5462,66235.73438
5463,67687.66406
5464,67781.57031
5465,66291.07031
5466,64394.80859
5467,62252.25
5468,59808.17578
5469,58639.51953
5470,55552.20703
5471,51666.76563
5472,47997.45313
5473,45286.30078
5474,43529.16797
5475,42327.19531
5476,41886.13281
5477,42228.67969
5478,43907.66016
5479,45415.0625
5480,46444.61719
5481,49600.87109
5482,53237.62109
5483,56765.46094
5484,59967.32813
5485,62621.73438
5486,63435.6875
5487,63168.05859
5488,62964.32422
5489,62791.70313
5490,61588.06641
5491,59326.79688
5492,57695.375
5493,56639.72266
5494,54011.83984
5495,50416.82031
5496,47117.99609
5497,44782.49609
5498,43360.70703
5499,42423.03125
5500,42321.03125
5501,42791.48828
5502,44760.52344
5503,46750.0625
5504,47444.39844
5505,49596.17578
5506,52314.52734
5507,54867.20313
5508,56767.55078
5509,57878.49609
5510,58732.83984
5511,59117.49219
5512,59803.82031
5513,60138.82813
5514,59662.23828
5515,58316.22656
5516,57054.34375
5517,56621.10156
5518,54182.14453
5519,50776.62109
5520,47834.20313
5521,45849.62891
5522,44499.96875
5523,43588.73438
5524,43521.56641
5525,44283.12109
5526,46388.85156
5527,48149.98828
5528,48883.93359
5529,51484.51953
5530,54930.79297
5531,58403.16406
5532,61735.57031
5533,64935.11719
5534,67639.13281
5535,69636.72656
5536,70450.35938
5537,71260.97656
5538,70501.35156
5539,68094.77344
5540,65039.65625
5541,63482.86719
5542,59710.98438
5543,55753.22266
5544,51793.84766
5545,48714.67188
5546,46757.09375
5547,45396.27344
5548,44803.73047
5549,45073.64453
5550,46503.98828
5551,48043.04688
5552,49012.08984
5553,52228.625
5554,56215.52344
5555,59767.10156
5556,63236.50391
5557,66523.70313
5558,69052.6875
5559,70973.92188
5560,71946.27344
5561,71799.50781
5562,70928.73438
5563,67806.53906
5564,64226.58984
5565,62144.42969
5566,59263
5567,55711.10547
5568,52082.45703
5569,49094.83594
5570,46875.58984
5571,45330.33203
5572,44045.66797
5573,43318.60156
5574,43396.79297
5575,43513.33594
5576,44806.33203
5577,48879.23828
5578,53378.76953
5579,57855.82031
5580,61569.48047
5581,64976.05078
5582,67491.51563
5583,69427.44531
5584,70869.41406
5585,71035.96875
5586,70070.30469
5587,67518.17969
5588,64349.50391
5589,62372.38281
5590,59040.48828
5591,55712.64453
5592,52055.71094
5593,48989.55859
5594,46863.39063
5595,44735.82422
5596,43475.94531
5597,42654.09766
5598,42147.19922
5599,41880.92578
5600,43288.23047
5601,47125.10938
5602,52000.58594
5603,56730.74609
5604,60908.79297
5605,64851.37109
5606,67703.10938
5607,69632.25781
5608,71007.50781
5609,71694.10938
5610,71230.61719
5611,69292.49219
5612,65818.41406
5613,64027.86328
5614,60209.08594
5615,55647.76953
5616,51368.86719
5617,48212.64063
5618,46051.1875
5619,44484.03125
5620,43630.17188
5621,43602.22266
5622,45154.55469
5623,46701.88672
5624,47601.48828
5625,51029.32813
5626,55320.86719
5627,59714.58594
5628,63774.46484
5629,67368.51563
5630,70252.78125
5631,72090.42969
5632,72729.64844
5633,72893.125
5634,72343.20313
5635,70888.4375
5636,67611.46094
5637,65309.79688
5638,61276.95313
5639,56312.42578
5640,52198.09766
5641,49123.20313
5642,46734.70313
5643,44984.40625
5644,44304.27344
5645,44360.77344
5646,45877.26172
5647,47587.98828
5648,48291.41016
5649,51850.05469
5650,56022.71094
5651,60279.13672
5652,64496.87891
5653,68052.4375
5654,71116.74219
5655,72528
5656,73350.57813
5657,73596.86719
5658,73127.24219
5659,71385.5625
5660,68496.71875
5661,66242.09375
5662,62253.125
5663,57643.27344
5664,53354.28906
5665,50149.61719
5666,47493.14844
5667,45828.01563
5668,45026.17969
5669,44889.63281
5670,46634.27734
5671,48049.08594
5672,48807.44531
5673,52079.01953
5674,56473.8125
5675,60755.95313
5676,64802.40234
5677,68414.36719
5678,71309.32813
5679,72795.24219
5680,73251.10938
5681,73371.07813
5682,73111.25
5683,71031.5
5684,67968.19531
5685,65569.46875
5686,61480.73828
5687,56709.88672
5688,52702.86719
5689,49519.39453
5690,47106.51172
5691,45587.69922
5692,44460.82813
5693,44625.69141
5694,46311.14844
5695,48055.53125
5696,48756.25
5697,51981.02734
5698,56727.33984
5699,61424.58594
5700,65375.48438
5701,68743.35938
5702,70749.30469
5703,71391.96875
5704,71701.29688
5705,71623.83594
5706,70314.66406
5707,67819.17969
5708,65295.19922
5709,63234.30078
5710,59600.93359
5711,55195.24219
5712,51358.62891
5713,48456.98828
5714,46429.90625
5715,44732.26172
5716,44045.28906
5717,44014.94531
5718,45428.68359
5719,47253.60547
5720,47672.81641
5721,50174.82031
5722,53402.35156
5723,56781.48828
5724,60105.78516
5725,63306.95703
5726,65722.60156
5727,67004.27344
5728,67598.57031
5729,67633.27344
5730,66000.00781
5731,63266.93359
5732,60738.86719
5733,59063.02734
5734,56411.28516
5735,52974.99219
5736,49576.42188
5737,46933.87109
5738,44566.01953
5739,42829.94141
5740,42078.36328
5741,41363.75391
5742,41716.23438
5743,41923.40234
5744,43031.21875
5745,46753.58203
5746,51170.97266
5747,55367.69922
5748,59089.05078
5749,61837.71484
5750,63561.28125
5751,64065.35547
5752,64323.23438
5753,64484.09766
5754,63562.44531
5755,61403.74609
5756,58963.87109
5757,57660.62891
5758,54841.70703
5759,51741.14453
5760,48644.98047
5761,46133.13672
5762,44120.19922
5763,42581.64844
5764,41632.75
5765,41053.11719
5766,40991.60547
5767,41204.83594
5768,41865.82422
5769,44758.0625
5770,48426.61719
5771,52346.01172
5772,56279.66406
5773,59542.76563
5774,62170.46875
5775,63952.89063
5776,64728.65234
5777,65184.64844
5778,64859.41797
5779,63282.71094
5780,61450.90625
5781,59781.54688
5782,56435.79297
5783,52397.34375
5784,48832.50391
5785,46118.78516
5786,44152.02734
5787,43010.64453
5788,42584.32031
5789,42918.23828
5790,44748.74219
5791,46740.625
5792,47474.00391
5793,50279.70313
5794,54189.52344
5795,58673.84375
5796,62795.78125
5797,65993.95313
5798,68736.30469
5799,70133.42188
5800,71380.73438
5801,71682.75781
5802,71232.10156
5803,68927.38281
5804,66290.3125
5805,63667.97266
5806,59541.91797
5807,55132.05859
5808,51134.375
5809,48126.10156
5810,46199.16406
5811,44648.19531
5812,43912.46094
5813,44255.30859
5814,45804.65234
5815,47446.0625
5816,48071.10938
5817,51503.53125
5818,55821.08203
5819,60569.5
5820,64689.44922
5821,68732.10156
5822,71766.375
5823,73103.125
5824,73409.38281
5825,73424.58594
5826,72920.10938
5827,70693.0625
5828,68290.11719
5829,65832.375
5830,61941.41797
5831,57423.67969
5832,53558.54688
5833,50551.71875
5834,48391.04688
5835,46881.78516
5836,46079.05859
5837,46050.58203
5838,47627.42578
5839,49341.37109
5840,49720.09766
5841,52868.01172
5842,57226.0625
5843,61896.94922
5844,66055.32031
5845,69529.69531
5846,71673.55469
5847,71709.00781
5848,72094.38281
5849,72252.5
5850,71651.92188
5851,70126.24219
5852,67999.98438
5853,65709.875
5854,61927.97266
5855,57892.28516
5856,53704.40234
5857,50670.50391
5858,48226.66016
5859,46636.49609
5860,45834.12891
5861,46020.49219
5862,47489.01953
5863,49215.14063
5864,49724.83203
5865,52684.49609
5866,56692.89453
5867,61008.32813
5868,65189.09375
5869,68417.10938
5870,70776.69531
5871,71007.96094
5872,70901.69531
5873,70798.24219
5874,70339.23438
5875,68172.57813
5876,66254.46094
5877,64010.83203
5878,60384.08203
5879,56633.35547
5880,52841.00781
5881,49917.09766
5882,47756.26563
5883,46424.88672
5884,45398.63672
